"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Cell adhesion molecules (CAMs)",3.68863508662613e-07,9.37728304958382e-06,0.674962860011025,0.510474740633839,3.04221667474488,35,"CLDN23;H2-AA;CDH1;ALCAM;CADM1;ICAM1;H2-AB1;CLDN18;H2-EB1;PTPRF;H2-K1;CLDN7;CLDN3;H2-DMB1;ITGB1;H2-D1;ESAM;ITGA6;SDC4;ITGAV;F11R;PTPRM;OCLN;ITGA9;SDC1"
"DNA replication",9.99067192688989e-07,2.0114552812805e-05,0.643551836150722,0.591054293513565,2.97467941548733,24,"POLE4;PCNA;LIG1;RPA2;POLE3;FEN1;RFC1;MCM6;RNASEH2B;RFC5;RFC2;POLD2;MCM7;RNASEH2C;MCM2;RPA1;RFC4;RPA3;RFC3;POLD3;RNASEH2A;POLD4"
"Leukocyte transendothelial migration",2.84429229439727e-07,8.58976272907974e-06,0.674962860011025,0.44507021341261,2.92734848366547,48,"CLDN23;PIK3R1;ACTG1;MYL12A;ACTN4;CTNND1;ICAM1;EZR;CLDN18;CTNNB1;RHOA;CLDN7;CLDN3;CYBA;MSN;MYL12B;ITGB1;VASP;ROCK2;PIK3R3;CTNNA1;CDC42;ESAM;GNAI2;RAP1A;ACTN1;F11R;OCLN;MAPK13;RAP1B;ROCK1;VCL;ARHGAP5"
"Non-alcoholic fatty liver disease (NAFLD)",3.18032317721781e-08,1.20057199939972e-06,0.719512826338911,0.320031918616888,2.74461947576651,111,"COX7A2L;PIK3R1;UQCRQ;UQCRH;COX7C;COX7A2;CYCS;PRKAB1;COX4I1;NDUFA9;UQCRC1;COX6C;UQCRC2;COX5B;NDUFA2;COX5A;SDHD;NDUFA12;UQCRB;NDUFS3;NDUFB4;UQCR10;BAX;AKT1;NDUFV1;NDUFS6;COX6A1;NDUFAB1;COX8A;PIK3R3;NDUFC2;NDUFS2;EIF2S1;NDUFB7;UQCRFS1;NDUFA3;CDC42;SDHB;COX7B;NDUFA6;NDUFA5;CYC1;NDUFV2;ITCH;NDUFC1;GSK3B;NDUFB5;NDUFB8;NDUFB6;NDUFA1;JUN;NDUFB9;UQCR11;NDUFS7;NDUFA7;NDUFB10;NDUFA4;NDUFS4;COX6B1;NDUFA11;XBP1;MAP3K5;NDUFS5;NDUFV3;NDUFA13;NDUFB2;NDUFB11;NDUFA8;INSR;COX6B2;NDUFS8;RAC1"
"Protein digestion and absorption",8.16640892833934e-05,0.00117440737921832,0.538434096309916,0.525232032010469,2.54030734894441,21,"ATP1B1;COL4A4;COL4A3;DPP4;COL4A2;COL4A1;COL12A1;COL4A5;ATP1B3;SLC38A2;SLC1A1;SLC7A7;SLC1A5;COL4A6;COL5A2"
"Antigen processing and presentation",3.62789184770159e-05,0.00054781166900294,0.557332238758646,0.419261214654477,2.52856702886154,39,"HSP90AB1;H2-AA;CD74;HSPA8;H2-AB1;H2-EB1;PSME1;IFI30;H2-K1;HSPA5;HSP90AA1;CALR;PDIA3;H2-DMB1;B2M;HSPA1B;H2-D1;PSME2;HSPA1A;CTSL;LGMN;TAPBP"
"Retrograde endocannabinoid signaling",2.13281187362099e-06,4.02568241145962e-05,0.627256739718528,0.360836846118732,2.51632308140357,63,"GNG5;NDUFA9;NDUFA2;NDUFA12;NDUFS3;NDUFB4;NDUFV1;NDUFS6;GNB2;NDUFAB1;GNB4;NDUFC2;NDUFS2;NDUFB7;NDUFA3;NDUFA6;NDUFA5;NDUFV2;GNAI2;NDUFC1;NDUFB5;NDUFB8;NDUFB6;NDUFA1;NDUFB9;NDUFS7;NDUFA7;NDUFB10;MAPK13;ITPR1;NDUFA4;NDUFS4;PRKACA;NDUFA11;NDUFS5;GNB1;NDUFV3;NDUFA13;GNG11;NDUFB2;NDUFB11;NDUFA8;NDUFS8"
"Tight junction",3.72607273493397e-07,9.37728304958382e-06,0.674962860011025,0.300146462862919,2.43147343074076,99,"CLDN23;ACTG1;MYL12A;ACTN4;YBX3;NEDD4;CCND1;PRKAB1;CGN;EZR;TJP1;CLDN18;RHOA;TUBA1B;CLDN7;PCNA;AMOTL2;CLDN3;EPB41L4B;MYH9;CRB3;MSN;MYL12B;ITGB1;RUNX1;VASP;ROCK2;TUBA1A;CDK4;MAGI1;MYH14;SYNPO;MYL6;AMOTL1;CDC42;DLG1;ERBB2;ACTR3;PRKCI;JUN;MPP5;PARD6B;ARHGEF18;RAP1A;ACTN1;F11R;OCLN;LLGL2;RDX;PRKACA;PARD3;TUBA1C;TUBA8;ROCK1;MAP3K5;PPP2CB;ARHGEF2;MYH10;CTTN;RAC1;CGNL1"
"Small cell lung cancer",2.35741049003971e-05,0.000374704193679997,0.575610261071129,0.350175364847963,2.43049025312057,60,"CDKN1A;PIK3R1;COL4A4;COL4A3;CCND1;CYCS;CKS1B;LAMA5;COL4A2;LAMC1;CKS2;E2F1;LAMC2;COL4A1;BAX;ITGB1;AKT1;LAMA3;CDK4;ITGA3;COL4A5;PIK3R3;CDKN2B;GADD45B;CDK6;ITGA6;MAX;GADD45G;ITGAV;NFKBIA;LAMB2;E2F2;COL4A6;TRAF1;POLK;PTEN;XIAP;LAMB3"
"Phagosome",7.18998163712927e-06,0.000120631914134058,0.610526878385931,0.319671408970727,2.40730734088507,76,"THBS1;H2-AA;SFTPD;ACTG1;SFTPA1;CD36;H2-AB1;H2-EB1;SEC61B;TUBA1B;H2-K1;CYBA;CALR;THBS3;H2-DMB1;ITGB1;LAMP2;TUBB5;TUBA1A;ATP6V1A;TUBB2A;H2-D1;CTSL;ATP6V1G1;TUBB4B;LAMP1;SEC61A1;ATP6V1E1;SEC61G;CANX;STX7;ITGAV;ATP6V0D1;ATP6V0E;ITGB3;ATP6V1H;TUBA1C;TUBA8;ATP6V0A2"
"Mineral absorption",0.000553793126707905,0.00539501691179959,0.477270815362862,0.530223524372006,2.36097429314764,17,"ATP1B1;ATOX1;FTH1;S100G;TRF;MT1;MT2;ATP2B1;ATP1B3;FTL1"
"Focal adhesion",2.61271167048119e-06,4.64140543814894e-05,0.627256739718528,0.283225294880268,2.36047746617116,108,"CCND2;THBS1;PIK3R1;ACTG1;MYL12A;ACTN4;COL4A4;COL4A3;IGF1R;CCND1;VEGFA;LAMA5;CTNNB1;COL4A2;CAV1;LAMC1;RHOA;PPP1CA;LAMC2;COL4A1;PDGFA;MYL12B;THBS3;ITGB1;AKT1;CCND3;VASP;LAMA3;ROCK2;CAV2;ITGA3;COL4A5;PIK3R3;ITGB6;CDC42;HRAS;ERBB2;GSK3B;ITGA6;JUN;CAPN2;RAP1A;ACTN1;ITGAV;FLNA;ITGB3;LAMB2;TLN1;PARVA;ITGA9;PDGFB;COL4A6;RAP1B;PPP1CC;ROCK1;VCL;ILK;ARHGAP5;BAD;PTEN;XIAP;LAMB3;RAC1"
"Metabolism of xenobiotics by cytochrome P450",0.000444098007363839,0.0047899142222814,0.49849310876659,0.544361200036362,2.34018100421479,16,"GSTO1;CBR1;GSTM1;MGST1;MGST3;CBR2;ADH5;GSTT1;AKR7A5;ALDH3B1;GSTM2"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",0.000488936497473226,0.0049604022058985,0.477270815362862,0.442798722487596,2.30227927733817,25,"ACTG1;DAG1;JUP;CTNNB1;DSP;GJA1;ITGB1;ITGA3;TCF7L2;ITGB6;CTNNA1;ITGA6;ITGAV;ITGB3;ITGA9;ATP2A2;LMNA"
"Amoebiasis",0.000186007449033573,0.00255337498218813,0.518848077743792,0.347696252237833,2.24991510677442,45,"PIK3R1;SERPINB6A;ACTN4;COL4A4;COL4A3;LAMA5;COL4A2;LAMC1;HSPB1;TGFB2;SERPINB9;LAMC2;COL4A1;SERPINB6B;LAMA3;TGFB3;GNAS;COL4A5;PIK3R3"
"Fatty acid elongation",0.00145804075006742,0.0119007650410908,0.45505986738723,0.47776940070747,2.23437744013161,19,"TECR;ACAA2;ACOT1;HADH;ACOT7;HADHB;ECHS1;HACD2;HADHA;HACD1;PPT1;ELOVL5;ELOVL1;HSD17B12"
"Protein export",0.00105568097180476,0.00910901867100111,0.45505986738723,0.43772941762721,2.20302043730782,24,"SEC11C;SRP9;SEC61B;SEC11A;HSPA5;SRP72;SPCS2;OXA1L;ARXES2;SRP14;SEC61A1;SEC61G;SEC62;SPCS1;SRP68;ARXES1"
"PPAR signaling pathway",0.000777484705300006,0.00733751190626881,0.477270815362862,0.408925203870617,2.19300460196692,27,"HMGCS2;SCD1;CD36;UBC;ACADL;FABP5;ACSL4;DBI;SCD2;ACADM;ACAA1A;ACSL5;PPARD;PCK2;ILK;FABP3;ME1;SCP2"
"Fatty acid degradation",0.000980746086222863,0.00871133288350896,0.45505986738723,0.400550843483955,2.14809416188485,27,"ACADL;ADH5;ACSL4;ACAA2;ECI1;HADH;ALDH2;ACADM;ACAA1A;ACSL5;ACADS;HADHB;ACAT1;ECHS1;HADHA;ECI2;ACADVL;ALDH7A1"
"Staphylococcus aureus infection",0.00118904667860474,0.00997478047051751,0.45505986738723,0.729713335008312,2.13989276216877,7,"H2-AA;HC;ICAM1;H2-AB1;H2-EB1;H2-DMB1"
"Mismatch repair",0.00191527847522814,0.0148311307568949,0.45505986738723,0.466838866921077,2.12848635722232,18,"PCNA;LIG1;RPA2;RFC1;RFC5;RFC2;POLD2;RPA1;RFC4;RPA3;RFC3;POLD3;POLD4;MLH1"
"Viral myocarditis",0.00220823279003503,0.0158782452997757,0.431707695803346,0.382430450170405,2.12774618951622,29,"H2-AA;ACTG1;DAG1;ICAM1;CCND1;CYCS;H2-AB1;EIF4G2;CAV1;H2-EB1;H2-K1;H2-DMB1;H2-D1"
"Asthma",0.000305423604974919,0.00341621958157131,0.49849310876659,0.905871631298008,2.06568242596252,4,"H2-AA;H2-AB1;H2-EB1;H2-DMB1"
"Proximal tubule bicarbonate reclamation",0.00209115602593179,0.015788227995785,0.431707695803346,0.597775239003269,2.06346301051074,10,"ATP1B1;CAR2;AQP1;MDH1;ATP1B3;GLS;PCK2;GLUD1;ATP1A1"
"Pancreatic secretion",0.0026480735423296,0.0185980979019428,0.431707695803346,0.374638359841862,2.00912939439773,27,"ATP1B1;RAB27B;RAB3D;SLC12A2;CAR2;RAB11A;RHOA;PLA2G1B;GNAS;ATP2B1;ATP1B3;RAP1A;ITPR1;ATP2A2;RAP1B;RAC1;PLA2G12A;SLC4A2;ATP1A1;GNAQ"
"Chemical carcinogenesis",0.00379057895671944,0.0254389965539838,0.431707695803346,0.46292415357167,1.99008729958761,16,"GSTO1;CBR1;GSTM1;MGST1;MGST3;ADH5;GSTT1;ALDH3B1;GSTM2"
"Rheumatoid arthritis",0.00322283870909934,0.0221203929579091,0.431707695803346,0.367288588612709,1.96971367246039,27,"H2-AA;ICAM1;VEGFA;H2-AB1;H2-EB1;TGFB2;H2-DMB1;ATP6V1A;TGFB3;CTSL;ATP6V1G1;ATP6V1E1;JUN;ATP6V0D1;ATP6V0E;ATP6V1H;ATP6V0A2"
"Ferroptosis",0.00518656985217499,0.0333264701139755,0.407017918923954,0.391127049831262,1.96847835595097,24,"FTH1;SLC39A8;TRF;GPX4;PRNP;PCBP2;ACSL4;GCLC;VDAC2;FTL1;VDAC3;ACSL5;MAP1LC3B;MAP1LC3A"
"Hippo signaling pathway",0.000254365621311407,0.00320076740150188,0.49849310876659,0.250771738299056,1.95460323531356,87,"CCND2;ACTG1;CDH1;YWHAZ;ID2;CCND1;CTNNB1;PPP1CA;TGFB2;TGFBR2;APC;TEAD1;YWHAH;CCND3;ID1;WWC1;TGFB3;TCF7L2;YWHAQ;WNT7A;CTNNA1;RASSF2;SMAD7;DLG1;GSK3B;FZD1;BMP4;PRKCI;YWHAE;MPP5;PARD6B;BMPR1A;FGF1;FZD2;LLGL2;LATS2;TRP53BP2;BBC3;NKD1;PARD3;YWHAG;PPP1CC;FRMD6;PPP2CB;MOB1A;WNT7B;BMPR2;WWTR1;WTIP;LIMD1"
"Glutathione metabolism",0.00542396262723441,0.0334293206821386,0.407017918923954,0.343470258083134,1.93661898057187,32,"GSTO1;GSTM1;MGST1;MGST3;GPX4;IDH2;ODC1;IDH1;RRM1;GCLC;RRM2;GSTT1;GPX8;SRM;SMS;GSTM2"
"Proteoglycans in cancer",0.000296019877288164,0.00341621958157131,0.49849310876659,0.223841365962364,1.92036824628156,115,"THBS1;CDKN1A;PIK3R1;ACTG1;PDCD4;CD63;ARHGEF12;IGF1R;CCND1;VEGFA;EZR;TIMP3;CTNNB1;CAV1;RHOA;HSPG2;PPP1CA;TGFB2;ERBB3;MSN;ITGB1;AKT1;ROCK2;ANK3;CAV2;PIK3R3;WNT7A;CTSL;CDC42;KRAS;IQGAP1;HRAS;ERBB2;CAMK2D;FZD1;GPC3;SDC4;ITGAV;FZD2;HSPB2;EIF4B;MAPK13;ITPR1;FLNA;ITGB3;RDX;DDX5;SDC1;PRKACA;SHH;PPP1CC;ROCK1;CBL;MDM2;ARHGEF1;WNT7B"
"Hematopoietic cell lineage",0.00582451116629745,0.0351800474444366,0.407017918923954,0.445088153239561,1.91341124485486,16,"CD24A;H2-AA;CD9;CD36;H2-AB1;H2-EB1;H2-DMB1;ITGA3;ITGA6;ITGB3;CSF1R"
"Rap1 signaling pathway",0.000492755186016408,0.0049604022058985,0.477270815362862,0.240285485782059,1.87107765006065,89,"THBS1;PIK3R1;ACTG1;CDH1;CTNND1;IGF1R;VEGFA;CTNNB1;RHOA;RAP1GAP;CALM2;PDGFA;ITGB1;AKT1;VASP;ID1;MAGI1;GNAS;PIK3R3;PFN1;CDC42;SIPA1L3;KRAS;GNAI2;FGFR2;HRAS;MAGI3;KRIT1;PRKCI;F2R;PARD6B;RAP1A;CALM1;FGF1;EFNA1;MAPK13;ITGB3;TLN1;PDGFB;CSF1R;PARD3;RAP1B"
"Regulation of actin cytoskeleton",0.000822464155102904,0.00752679317700233,0.477270815362862,0.216537686625339,1.8245514017006,112,"PIK3R1;TMSB4X;ACTG1;ARPC3;MYL12A;ACTN4;ARHGEF12;ARPC1B;EZR;RHOA;DIAPH3;PPP1CA;MYH9;APC;PDGFA;MSN;MYL12B;WASF2;ITGB1;ROCK2;MYH14;ITGA3;ARPC2;PIK3R3;ITGB6;CFL1;PFN1;CDC42;KRAS;IQGAP1;FGFR2;GSN;HRAS;ITGA6;CFL2;F2R;ACTN1;ITGAV;FGF1;SSH2;ITGB3;DIAPH2;RDX;SSH1;ITGA9;PDGFB;PPP1CC;ROCK1;VCL;NCKAP1;GIT1"
"Drug metabolism",0.00869287074040466,0.048615684511152,0.380730400722792,0.309386982865919,1.80588813637062,34,"GSTO1;GSTM1;MGST1;MGST3;NME1;ADH5;DUT;RRM1;RRM2;IMPDH2;HPRT;GSTT1;ALDH3B1;GSTM2;NME6;GSTT2;GSTM5;MAOA;UMPS;UCK2;NME2;ITPA;UCKL1;GMPS;GSTK1;GSTT3"
"MicroRNAs in cancer",0.0015558651099398,0.0123650332421531,0.45505986738723,0.233765597839238,1.80079734616996,80,"CCND2;THBS1;CDKN1A;PDCD4;CCNG1;STMN1;DNMT3A;CCND1;VEGFA;EZR;TIMP3;RHOA;SLC45A3;E2F1;TGFB2;ERBB3;APC;PDGFA;DNMT1;EZH2;CDC25B;HMGA2;KRAS;GLS;HRAS;MCL1;ERBB2;CDK6;VIM;SLC7A1;ITGB3;RDX;PDGFB;UBE2I;E2F2"
"Pathways in cancer",0.000226131536683493,0.0029692053947137,0.518848077743792,0.167246443927055,1.78189365292356,251,"GSTO1;HSP90AB1;CCND2;GSTM1;CDKN1A;PIK3R1;MGST1;MGST3;CDH1;COL4A4;COL4A3;ARHGEF12;IGF1R;CCND1;CYCS;VEGFA;CKS1B;GNG5;LAMA5;JUP;CTNNB1;COL4A2;LAMC1;RHOA;CKS2;E2F1;TGFB2;CALM2;LAMC2;COL4A1;HSP90AA1;TGFBR2;APC;PDGFA;BAX;HSP90B1;ITGB1;AKT1;CCND3;RUNX1;LAMA3;ROCK2;CDK4;GSTT1;RARA;TGFB3;GNB2;ITGA3;GNAS;COL4A5;TCF7L2;PIK3R3;GNB4;FH1;WNT7A;IL6ST;CTNNA1;CDC42;KRAS;TPM3;CDKN2B;GADD45B;GNAI2;FGFR2;HRAS;ERBB2;CAMK2D;GSK3B;FZD1;CDK6;BMP4;ITGA6;JUN;MAX;F2R;GADD45G;GSTM2;CALM1;IFNGR1;ITGAV;FGF1;FZD2;RALBP1;DAPK2;NFKBIA;LAMB2;CTBP1;RBX1;EPAS1;PDGFB;PRKACA;BBC3;PPARD;E2F2;CSF1R;SHH;COL4A6;TRAF1;DAPK1;ROCK1;GNB1;CBL;MDM2;GNG11;POLK;ARHGEF1;MECOM;WNT7B;TXNRD1;BAD;HDAC1;PTEN;GSTT2;XIAP;LAMB3;RAC1"
"Bacterial invasion of epithelial cells",0.00751094349203152,0.0428560241176464,0.407017918923954,0.263590877956712,1.76829446809953,51,"CD2AP;PIK3R1;ACTG1;CLTA;ARPC3;CDH1;ARPC1B;CTNNB1;CAV1;RHOA;ARHGEF26;WASF2;ITGB1;CAV2;SEPT2;ARPC2;PIK3R3;CTNNA1;CDC42"
"p53 signaling pathway",0.00752109032528232,0.0428560241176464,0.407017918923954,0.289499737910288,1.76082253186038,40,"CCND2;THBS1;CDKN1A;CCNG1;CCND1;CYCS;PERP;ZMAT3;SHISA5;SIVA1;RRM2;BAX;CCND3;CDK4;CD82;GADD45B;SFN;CDK6;GADD45G"
"PI3K-Akt signaling pathway",0.00218895662675629,0.0158782452997757,0.431707695803346,0.17771286459228,1.70442514901738,151,"HSP90AB1;CCND2;THBS1;CDKN1A;PIK3R1;COL4A4;COL4A3;YWHAZ;IGF1R;CCND1;VEGFA;GNG5;LAMA5;COL4A2;LAMC1;ERBB3;LAMC2;COL4A1;HSP90AA1;PKN2;PDGFA;THBS3;HSP90B1;ITGB1;AKT1;YWHAH;CCND3;LAMA3;CDK4;MAGI1;GNB2;ITGA3;COL4A5;PIK3R3;GNB4;YWHAQ;ITGB6;CDC37;KRAS;FGFR2;HRAS;MCL1;ERBB2;GSK3B;CDK6;ITGA6;YWHAE;F2R;CREB3;ITGAV;FGF1;EFNA1;EIF4B;ITGB3;LAMB2;ITGA9;PDGFB;CSF1R;CREB3L2;COL4A6;EIF4E;YWHAG;PCK2;GNB1;MDM2;GNG11;PPP2CB;BAD;PTEN;INSR;EPHA2;LAMB3;RAC1"
"Fluid shear stress and atherosclerosis",0.00541366694928555,0.0334293206821386,0.407017918923954,0.208807814923324,1.65202785367603,86,"GSTO1;HSP90AB1;GSTM1;PIK3R1;ACTG1;MGST1;MGST3;ICAM1;VEGFA;CTNNB1;SUMO2;CAV1;RHOA;CALM2;TXN1;CYBA;HSP90AA1;SUMO3;PDGFA;SQSTM1;HSP90B1;AKT1;GSTT1;CAV2;DUSP1;PIK3R3;CTSL;BMP4;SDC4;JUN;GSTM2;CALM1;BMPR1A;ITGAV;MAPK13;ITGB3;PDGFB;SDC1"
